SPIRIT1_a_W70,SPIRIT1_b_W70,SPIRIT1_c_W70,SPIRIT1_d_W70,SPIRIT2_a_W70,SPIRIT2_b_W70,SPIRIT2_c_W70,SPIRIT2_d_W70
Daily,Never,Daily,Less than monthly,Daily,Weekly,Weekly,Weekly
Never,Never,Daily,Monthly,Daily,Monthly,Weekly,Daily
Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily
Never,Never,Never,Never,Never,Never,Never,Daily
Less than monthly,Less than monthly,Daily,Less than monthly,Daily,Never,Less than monthly,Daily
Never,Less than monthly,Daily,Daily,Never,Never,Daily,Weekly
Never,Never,Daily,Weekly,Never,Never,Weekly,Monthly
Never,Never,Weekly,Monthly,Weekly,Never,Weekly,Daily
Daily,Daily,Daily,Daily,Never,Never,Weekly,Weekly
Less than monthly,Never,Daily,Daily,Daily,Daily,Weekly,Daily
Never,Never,Daily,Daily,Never,Never,Weekly,Weekly
Daily,Less than monthly,Daily,Less than monthly,Daily,Less than monthly,Weekly,Daily
Less than monthly,Never,Daily,Weekly,Daily,Never,Weekly,Daily
Weekly,Never,Weekly,Weekly,Daily,Weekly,Weekly,Daily
Weekly,Never,Weekly,Daily,Never,Less than monthly,Weekly,Weekly
Less than monthly,Never,Daily,Weekly,Daily,Weekly,Daily,Weekly
Less than monthly,Weekly,Weekly,Daily,Never,Never,Monthly,Weekly
Less than monthly,Never,Daily,Daily,Weekly,Never,Weekly,Less than monthly
Never,Never,Daily,Weekly,Never,Never,Weekly,Daily
Daily,Never,Daily,Never,Daily,Never,Daily,Daily
Never,Never,Daily,Weekly,Daily,Daily,Never,Weekly
Never,Less than monthly,Daily,Daily,Never,Never,Daily,Daily
Never,Never,Daily,Daily,Never,Never,Daily,Daily
Weekly,Never,Daily,Less than monthly,Daily,Weekly,Daily,Daily
Never,Never,Weekly,Less than monthly,Never,Never,Daily,Daily
Never,Never,Never,Never,Never,Never,Weekly,Daily
Less than monthly,Never,Daily,Daily,Monthly,Never,Less than monthly,Daily
Monthly,Never,Weekly,Daily,Weekly,Weekly,Daily,Weekly
Never,Never,Daily,Monthly,Daily,Weekly,Less than monthly,Weekly
Never,Never,Less than monthly,Monthly,Less than monthly,Less than monthly,Weekly,Daily
Never,Less than monthly,Daily,Weekly,Less than monthly,Less than monthly,Weekly,Daily
